鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段１６之１號六樓,11.52,住,,,1130124,土地1建物1車位1,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150120,97.55,2,2,1,有,有,12610000,137345,坡道機械,12.29,900000,預售屋、或土地及建物分件登記案件；,RPPPMLKMLHLGFAH97DA,47.82,3.21,4.79,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段１６之１號十二樓,11.52,住,,,1130123,土地1建物1車位1,十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150120,109.86,2,2,1,有,有,13710000,140244,坡道平面,24.58,1750000,預售屋、或土地及建物分件登記案件；,RPVPMLKMLHLGFAH58DA,47.82,3.21,4.79,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段１６之１號十五樓,11.52,住,,,1130123,土地1建物1車位1,十五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150120,97.55,2,2,1,有,有,13400000,143678,坡道機械,12.29,1150000,預售屋、或土地及建物分件登記案件；,RPXPMLKMLHLGFAH78DA,47.82,3.21,4.79,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段１８之１號十樓,11.84,住,,,1130120,土地1建物1車位1,十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150120,112.32,2,2,2,有,有,13900000,139617,坡道平面,24.58,1650000,預售屋、或土地及建物分件登記案件；,RPPQMLKMLHLGFAH08DA,49.27,3.73,4.44,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段１８之１號十一樓,11.84,住,,,1130128,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150120,112.32,2,2,2,有,有,14000000,139617,坡道平面,24.58,1750000,預售屋、或土地及建物分件登記案件；,RPQQMLKMLHLGFAH18DA,49.27,3.73,4.44,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段１８之１號十二樓,11.84,住,,,1130121,土地1建物1車位1,十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150120,112.32,2,2,2,有,有,14060000,140301,坡道平面,24.58,1750000,預售屋、或土地及建物分件登記案件；,RPRQMLKMLHLGFAH28DA,49.27,3.73,4.44,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段１６號八樓,11.47,住,,,1130128,土地1建物1車位1,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150120,109.80000000000001,2,2,1,有,有,13420000,138113,坡道平面,24.58,1650000,預售屋、或土地及建物分件登記案件；,RPPNMLLJMHLGFAH67DA,49.94,0.61,5.23,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段２０之１號十三樓,11.84,住,,,1130125,土地1建物1車位1,十三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150120,112.32,2,2,2,有,有,14110000,140871,坡道平面,24.58,1750000,預售屋、或土地及建物分件登記案件；,RPTNMLLJMHLGFAH08DA,49.27,3.73,4.44,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段８號八樓,12.16,住,,,1130130,土地1建物1車位1,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150120,114.86000000000001,2,2,2,有,有,14850000,141781,坡道平面,24.58,2050000,預售屋、或土地及建物分件登記案件；,RPPOMLLJMHLGFAH77DA,52.26,2.41,4.42,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段８號九樓,12.16,住,,,1130124,土地1建物1車位1,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150120,114.86000000000001,2,2,2,有,有,14630000,142667,坡道平面,24.58,1750000,預售屋、或土地及建物分件登記案件；,RPQOMLLJMHLGFAH87DA,52.26,2.41,4.42,有,
